"word","freq"
"int",0.0791551112793819
"class",0.0701408261434389
"std",0.0621258743402146
"string",0.061751530301169
"file",0.0586550730357433
"function",0.0531995518675695
"vector",0.0519475853025885
"boost",0.0486722617331865
"const",0.0478150484966689
"char",0.0476199234214603
"array",0.0469961195221649
"error",0.0446401248354378
"code",0.0440927971755845
"include",0.0428371138182336
"data",0.0426106968644028
"void",0.0419089393200314
"cout",0.0394469658032075
"type",0.0391702792892176
"template",0.0388981462330455
"return",0.0383160312172532
