"word","freq"
"layout",0.063582435972373
"application",0.0629610642529635
"app",0.0629110728318389
"android",0.0615782703728028
"activity",0.059031001122322
"intent",0.057300111181216
"java",0.0545940020884965
"image",0.0530574961373459
"view",0.0523867353329644
"button",0.0521191011560528
"file",0.0520650528177128
"string",0.0477227326395503
"data",0.0440920296979568
"screen",0.0424455498289115
"user",0.0420854722033474
"text",0.0403401402467808
"device",0.039277572660341
"list",0.0380604996943391
"public",0.0374570047133286
"listview",0.0369326550493558
